0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
7B2,CG14459,hdc,beat-Vb,grn,mam,CG34113,RpL29,Pka-R1,ringer,CG4409,slgA,CR45312,CG33181,CG7607,pros,Ddc,CG2269,CG4629,Hs3st-A,CR45621,nSyb,Appl,Vha13,CG42458,,kek1,VAChT,ey,CG6184,CG13739,trv,CG32706,ST6Gal,,CG31706,amon,Rbp6,CG18467,CG43729,nmo,CG31814,CG42342,NtR,CG15765,Octbeta1R,Gr43a,dac,hth,Sox21b,CG10527,CG34114,scro,CG7220,Tsp42Ea,Eip63F-1,CycG,rut,CG15312,,CG7997,Gapdh2,IscU,scyl,CG1572,CG33639,lama,Scp2,CG31313,euc,CG4462,,CG43795,twz,CG33639,pros,CG5778,Pka-C3,Ccn,CG15202,CG6006,CG31810,CG7135,,pr,CG9812,Tbh
oc,Dop2R,prim,beat-VI,CG4587,CG31345,msi,bru3,Mef2,TM4SF,Rh50,Hasp,CG6329,CG15765,CG1552,fax,CG18467,pros,CG42541,CG42540,PIP4K,TM4SF,Rdl,NP15.6,CG1688,,igl,Cyp9c1,prt,Gpb5,Hasp,cpo,CG34132,CG14274,,MRE16,Gpb5,CG11221,prim,otk2,Liprin-gamma,Mmp2,dmrt99B,vsg,CG2269,CG31221,Imp,jeb,CG42541,CG4341,Msr-110,CG34113,tj,norpA,bnb,Ggamma30A,eIF2beta,ND3,CG32683,,bnb,Dat,CR44024,CG31760,rgr,CG2082,Mipp1,Ggamma30A,CG9812,e,Hex-A,,Nos,CG32264,CG9932,acj6,laza,CG42540,CG12994,ine,Fas2,CG4753,CG12730,,Dscam3,CG8306,RpS13
CG13384,Ten-m,trv,Frq2,Gabat,zfh2,Frq1,AsnS,cora,Pde6,wun2,Vha13,Hmx,Hs3st-A,CG15209,jdp,CG31221,Ca-alpha1T,CG44153,qvr,kek3,Vha13,dysc,CG13067,CG8916,,Cbp53E,CG4168,Cngl,Calr,slgA,CASK,CG13220,mtt,,CG4409,Df31,Ets65A,bru3,Pkc53E,CG13685,Pdp1,CG10384,CG4950,CG6184,Mef2,Atf3,CG2269,CG4766,Prosap,mbl,CG8916,CG44422,CG14742,GLaz,CG32700,eEF2,ND6,dysc,,zyd,nSyb,mbl,CG42340,CG34155,Rbp6,CG10433,trv,CG2781,Gli,Mdr49,,nvy,Hasp,Argk,simj,CG13117,glec,stai,CG32354,Sox21b,spidey,MRE16,,Eip93F,CG8785,nmo
GC1,eys,jdp,Kank,Msp300,Kr,CG14762,CR40190,Dop1R1,Optix,rho,Vha68-1,CG15478,salm,CG14141,Pdcd4,CG32052,aop,Sox102F,fru,VAChT,Rh7,pros,Hsp70Bc,mav,,CG14853,AcCoAS,Gr77a,salr,CG4587,NaCP60E,CG9231,MRE23,,bnb,Mmp2,5-HT1A,Pal2,CngA,CG9650,Ih,mbl,CG33494,CNMaR,CG42346,CG12093,Scp2,CG32264,CG8861,,kirre,RpL23,PIP82,Awh,CG4629,Tspo,hig,Proc,,CG5895,cpx,DIP-alpha,CG17716,Dscam2,cmpy,CG44325,CG32700,CG33178,CG15449,eEF1alpha1,,Wdr62,Eip93F,CG45781,Lim3,rdhB,DIP-beta,msi,CG31248,CG18208,Cyp9b2,CG1648,,Pka-R1,EbpIII,Sox21b
CG9674,zld,Sytbeta,CG15312,shakB,CG2918,Atox1,CG41128,Nep1,beat-VI,CG1545,CG9650,nrv3,beat-Va,Sod3,hdc,hdc,Wnt4,nrv3,Rdl,Abl,Argk,rad,Pdf,beat-IIIb,,Con,CG31751,dysc,Nep1,CG12594,Frl,CG31345,rdgA,,DNaseII,Tbh,CG42594,Ptp99A,Eip63F-1,CG11768,CG31221,Pcd,CG42369,fax,Rdl,CG13506,bma,CG10804,Pka-R1,,CG34351,CG34371,CG9150,tj,ey,Pfrx,CG43737,CG42674,,CG6356,CG34355,Pde6,ttv,IA-2,CG11000,CG15098,Hasp,CG6421,GstD2,Sirup,,dpr8,Pal2,Sdc,Ehbp1,sn,hbn,Dgk,Idgf4,Tbh,CG13618,CG30195,,Sox102F,CG3713,Myc
fkh,CG43759,CanB,CG14024,CG12594,sta,CG31324,CR44024,CG31997,CG31814,e,SoxN,CG32017,Hk,CG15201,CG6123,fax,Ddc,CG9650,ap,CG6044,tup,CG13739,ATPsynD,nolo,,Slob,dati,Nep1,CrebA,klg,Rdl,CG2680,TfAP-2,,CG7084,CG15537,Rgk3,CG32017,CG9650,CG17839,ct,scro,NimB2,CG2918,Rab27,CG12910,fax,CG34155,cpx,,CG9650,fkh,Achl,CG3940,CG8916,CG34423,Dscam3,Hasp,,mnd,ru,CG14459,Dscam4,CG43222,CG42817,Idgf4,dpr13,yellow-c,Tsf1,Bsg,,Cpr73D,mab-21,CG14669,spab,GstE14,X11Lbeta,slo,fat-spondin,caup,GV1,CG3168,,CG12594,babos,CG2269
CG8613,br,sm,klg,mtd,Alk,spab,Hr38,CG11191,klg,GstE2,Eip63F-1,Hexo2,para,CG7084,CR44024,Pdcd4,CG42458,Ace,para,flw,Hasp,Fas2,spab,cindr,,CG13937,Sulf1,nAChRalpha6,CG46301,Gabat,Rbp6,CG11474,ct,,Rh50,DIP-beta,tok,svr,fd59A,pigs,CG31690,CG1402,CG42711,sty,CR45679,Glo1,bi,Nplp1,CG43658,,CG18208,kek1,Pph13,path,DIP-gamma,CG2064,CG6123,CG42342,,nrv2,slgA,Ten-m,dpr11,Mip,CG10384,Cys,CG32017,CG17919,GILT1,stl,,beat-IIIb,CG9896,bru3,kune,Pu,AstA-R1,ct,Sod3,mub,eEF1alpha1,CG32521,,Ten-a,CG11147,RpS5a
DIP-alpha,,CG18467,rgn,Bx,PPP4R2r,ap,Dop2R,CG30158,CG7708,CG7888,Atox1,Dat,Frq1,euc,unc-13-4A,bma,klg,Fas3,beat-Ic,cpo,CG6329,Bx,TM4SF,Sytalpha,,Aldh,Rbp9,Appl,CG2918,IA-2,CG33143,CG1635,scro,,trol,Hipk,CG43078,unc-13-4A,Fim,msi,CG34383,CG17193,CG6084,cv-2,beat-IIb,Spn55B,zld,CG15478,CG34353,,CG12163,CG1358,CG43340,igl,CG32225,Fdx1,zld,tim,,MRE16,LpR1,slgA,sim,Neto,Bsg,nec,Ip259,CG11147,CG3790,CG5390,,Pvf3,eys,sNPF,Gas41,CG34253,stum,CR45312,trol,Oamb,wat,hoe1,,mAChR-B,CG44325,CG13117
Sfxn1-3,,CR44024,AstC-R2,mbl,Calr,TM4SF,Sirup,ey,CG9650,Adgf-D,nSyb,nAChRalpha7,kn,CG31248,miple1,CR44024,pnt,St3,CG31324,ort,Syt1,CG4502,Vha14-1,Pvf3,,scro,CG14431,CG18812,CR45845,CG2269,PIP4K,mRpL49,VAChT,,CG11159,Rgk2,Sodh-2,5-HT1A,CR43856,pHCl-1,Gycbeta100B,CG2269,CG6310,CG13248,s-cup,Tret1-1,spab,CG32683,Vsx1,,Ace,CG42674,CG9427,bi,CG11294,CG10638,,CG1504,,wtrw,shi,CG15236,CG9932,Pal2,Chd64,RpL27A,hig,Mgstl,rho,CG34136,,UQCR-C1,dimm,rad,,CG18067,Pdfr,beat-Va,LanA,amon,Tsp29Fb,CG10863,,CG42673,CG3609,Imp
hdc,,Ca-alpha1T,CG33639,zld,CR45223,Cbp53E,Uhg4,rad,CG34113,vir-1,svp,Nos,shakB,bnb,Rab27,salm,CG4577,Hs3st-A,CG14509,SP1029,nAChRalpha7,lbm,ATPsynO,CG32647,,CG44422,CG12290,rut,pros,pros,ct,CG9531,Hk,,CG12177,CG6123,CG13784,jdp,Sulf1,CG42238,DIP-eta,bru3,NimC1,pros,CG10384,CG10970,TfAP-2,TfAP-2,tna,,Atox1,CG42392,CG14495,VGlut,CG3655,Hex-A,,CG44153,,CG3940,Vha16-1,CG1402,Cngl,Rgk2,Argk,RpLP1,nAChRalpha7,CG5773,Tsp42Ea,CG10226,,dpr13,cindr,RpL23,,CG30050,cpx,Nplp1,LanB2,Nhe2,CG30151,CG15449,,dnc,CG4928,CG32052
